"season_type","week","posteam","defteam","qtr","down","ydstogo","ydsnet","shotgun","pass_location","pass_length","air_yards","complete_pass","incomplete_pass","interception","passer","passer_player_id","passer_player_name"
"REG",1,NA,NA,1,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"REG",1,"TEN","ARI",1,NA,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,1,10,0,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,2,13,0,1,"middle","short",2,1,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",1,3,10,0,1,"right","short",10,0,1,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"TEN","ARI",1,4,10,0,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,1,10,45,1,"left","deep",29,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,1,10,45,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,1,18,45,1,"left","short",-4,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,2,17,45,1,"right","deep",20,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,1,9,45,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,2,9,45,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,NA,NA,1,NA,0,45,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,2,14,45,1,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,2,24,45,1,"middle","short",4,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,3,16,45,1,"right","deep",16,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,4,16,45,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,NA,0,-15,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,1,10,-15,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,2,11,-15,0,NA,NA,NA,0,0,0,"R.Tannehill","00-0029701","R.Tannehill"
"REG",1,"ARI","TEN",1,1,1,1,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,NA,NA,1,NA,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,1,5,1,1,"right","short",5,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,2,5,1,1,"right","short",5,0,1,0,"K.Murray","00-0035228","K.Murray"
"REG",1,NA,NA,1,NA,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"ARI","TEN",1,3,5,1,1,"right","short",5,1,0,0,"K.Murray","00-0035228","K.Murray"
"REG",1,"ARI","TEN",1,NA,0,1,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,NA,0,-6,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,1,10,-6,0,NA,NA,NA,0,0,0,NA,NA,NA
"REG",1,"TEN","ARI",1,2,8,-6,0,NA,NA,NA,0,0,0,NA,NA,NA
