"Rank","Season","Player","Team","Games","Att","Yds","YAContact","TDs","Brkn Tkls","Missed Tkls","1st Downs","Fum","Fum Lost","Hit at Line","Stuffs","Used Designed Gap"
"[object Object]","2022","Derrick Henry","Titans","16","349","1538","1089","13","40","16","65","2","1","159","61","220"
"[object Object]","2017","Melvin Gordon","Chargers","16","284","1105","711","8","55","0","60","1","0","149","68","198"
"[object Object]","2020","Derrick Henry","Titans","16","378","2027","1331","17","34","23","98","4","2","146","59","278"
"[object Object]","2022","Nick Chubb","Browns","17","302","1525","1033","12","34","21","69","1","1","146","58","215"
"[object Object]","2017","Jordan Howard","Bears","16","276","1122","772","9","39","0","61","1","1","144","65","212"
"[object Object]","2018","Ezekiel Elliott","Cowboys","15","304","1434","902","6","23","15","74","6","2","134","51","190"
"[object Object]","2017","LeSean McCoy","Bills","16","287","1138","709","6","45","0","58","3","1","132","80","195"
"[object Object]","2016","Ezekiel Elliott","Cowboys","15","322","1631","979","15","57","0","77","6","1","130","49","204"
"[object Object]","2019","Chris Carson","Seahawks","15","278","1229","901","7","39","28","74","6","3","128","50","155"
"[object Object]","2021","Jonathan Taylor","Colts","17","332","1811","1094","18","27","27","107","2","2","128","63","208"
"[object Object]","2016","LeGarrette Blount","Patriots","16","299","1161","615","18","45","0","59","2","1","128","69","209"
"[object Object]","2018","Saquon Barkley","Giants","16","261","1307","831","11","38","18","50","0","0","127","61","167"
"[object Object]","2016","Todd Gurley","Rams","16","278","885","589","6","36","0","42","2","1","127","62","216"
"[object Object]","2016","Jay Ajayi","Dolphins","15","260","1272","910","8","55","0","59","3","1","124","61","198"
"[object Object]","2017","Le'Veon Bell","Steelers","15","321","1291","774","9","52","0","73","2","2","123","49","243"
"[object Object]","2019","Nick Chubb","Browns","16","298","1494","1055","8","43","21","61","2","2","122","54","191"
"[object Object]","2022","Saquon Barkley","Giants","16","295","1312","790","10","15","21","62","1","0","122","51","217"
"[object Object]","2022","Josh Jacobs","Raiders","17","340","1653","1103","12","47","32","93","2","0","120","51","209"
"[object Object]","2017","Kareem Hunt","Chiefs","16","272","1327","846","8","69","0","63","1","1","120","50","211"
"[object Object]","2019","Joe Mixon","Bengals","16","278","1137","774","5","31","30","56","0","0","119","55","185"
"[object Object]","2017","Carlos Hyde","49ers","16","240","938","661","8","45","0","47","2","1","119","63","177"
"[object Object]","2021","Najee Harris","Steelers","17","307","1200","798","7","31","15","61","0","0","118","51","193"
"[object Object]","2015","Chris Ivory","Jets","15","247","1070","624","7","62","0","38","3","2","118","54","0"
"[object Object]","2018","Adrian Peterson","Redskins","16","251","1042","741","7","28","18","45","2","1","117","60","132"
"[object Object]","2015","Adrian Peterson","Vikings","16","327","1485","737","11","52","0","53","6","3","117","71","0"
"[object Object]","2020","Dalvin Cook","Vikings","14","312","1557","880","16","28","32","92","4","2","115","44","198"
"[object Object]","2015","Doug Martin","Buccaneers","16","288","1402","796","6","65","0","53","4","4","114","56","0"
"[object Object]","2016","David Johnson","Cardinals","16","293","1239","672","16","47","0","60","5","3","114","59","215"
"[object Object]","2015","Devonta Freeman","Falcons","15","265","1056","531","11","35","0","39","1","1","114","63","0"
"[object Object]","2019","Derrick Henry","Titans","15","303","1540","950","16","47","18","73","5","3","113","53","225"
"[object Object]","2019","Leonard Fournette","Jaguars","15","265","1152","745","3","21","13","55","0","0","113","54","182"
"[object Object]","2017","Todd Gurley","Rams","15","279","1206","768","13","52","0","67","4","2","113","62","186"
"[object Object]","2017","Ezekiel Elliott","Cowboys","10","242","983","706","7","35","0","57","1","1","112","33","153"
"[object Object]","2019","Sony Michel","Patriots","16","247","912","592","7","16","11","55","2","1","111","56","169"
"[object Object]","2016","DeMarco Murray","Titans","16","293","1287","676","9","45","0","59","2","1","111","59","185"
"[object Object]","2020","Josh Jacobs","Raiders","15","273","1065","646","12","23","15","61","2","2","110","54","186"
"[object Object]","2017","Leonard Fournette","Jaguars","13","268","1039","628","9","48","0","50","1","0","110","54","200"
"[object Object]","2019","Ezekiel Elliott","Cowboys","16","301","1357","764","12","32","12","78","3","2","109","34","178"
"[object Object]","2017","Lamar Miller","Texans","16","238","888","549","3","24","0","45","1","0","108","48","174"
"[object Object]","2016","LeSean McCoy","Bills","15","234","1267","697","13","43","0","46","3","0","107","56","173"
"[object Object]","2022","Najee Harris","Steelers","17","272","1034","673","7","35","12","45","2","1","106","44","174"
"[object Object]","2016","Melvin Gordon","Chargers","13","254","997","532","10","42","0","54","2","2","106","61","165"
"[object Object]","2021","Joe Mixon","Bengals","16","292","1205","747","13","13","20","60","1","1","105","45","213"
"[object Object]","2021","Alvin Kamara","Saints","13","240","898","610","4","23","17","41","0","0","105","46","144"
"[object Object]","2018","Peyton Barber","Buccaneers","16","234","871","530","5","33","10","41","1","1","105","55","136"
"[object Object]","2015","Frank Gore","Colts","16","260","967","603","6","36","0","29","4","3","105","58","0"
"[object Object]","2017","Frank Gore","Colts","16","261","961","644","3","33","0","49","2","0","105","43","185"
"[object Object]","2017","Jay Ajayi","2 teams","14","208","873","605","1","56","0","43","3","2","105","54","132"
"[object Object]","2016","Jonathan Stewart","Panthers","13","218","824","534","9","44","0","37","3","2","105","52","165"
"[object Object]","2017","C.J. Anderson","Broncos","16","245","1007","710","3","36","0","47","1","1","104","45","182"
"[object Object]","2022","Dalvin Cook","Vikings","17","264","1173","641","8","17","22","50","3","3","102","62","180"
"[object Object]","2018","Derrick Henry","Titans","16","215","1059","764","12","38","13","51","0","0","102","29","136"
"[object Object]","2021","Derrick Henry","Titans","8","219","937","681","10","16","5","49","1","0","102","40","168"
"[object Object]","2020","David Montgomery","Bears","15","247","1070","693","8","30","17","58","0","0","101","47","157"
"[object Object]","2019","Le'Veon Bell","Jets","15","245","789","537","3","19","15","36","0","0","101","48","151"
"[object Object]","2015","Todd Gurley","Rams","13","228","1098","672","10","49","0","35","3","1","101","45","0"
"[object Object]","2019","Dalvin Cook","Vikings","14","250","1135","678","13","23","19","60","3","2","100","37","178"
"[object Object]","2022","Dameon Pierce","Texans","13","220","939","547","4","33","9","54","4","2","100","44","149"
"[object Object]","2015","Latavius Murray","Raiders","16","266","1066","596","6","36","0","34","2","1","100","48","15"
"[object Object]","2021","David Montgomery","Bears","13","225","849","539","7","18","12","55","1","1","99","45","144"
"[object Object]","2018","Jordan Howard","Bears","16","250","935","584","9","18","6","53","2","1","99","46","161"
"[object Object]","2021","James Conner","Cardinals","15","202","752","514","15","26","9","53","2","0","98","35","137"
"[object Object]","2018","Todd Gurley","Rams","14","256","1251","774","17","24","7","70","0","0","98","41","169"
"[object Object]","2022","Jamaal Williams","Lions","17","262","1066","671","17","16","5","65","3","2","98","42","179"
"[object Object]","2019","Christian McCaffrey","Panthers","16","287","1387","583","15","26","17","56","1","0","97","50","206"
"[object Object]","2019","Carlos Hyde","Texans","16","245","1070","562","6","19","12","55","4","2","97","49","164"
"[object Object]","2017","Bilal Powell","Jets","15","178","772","392","5","27","0","32","0","0","97","53","129"
"[object Object]","2022","Christian McCaffrey","2 teams","17","244","1139","714","8","15","18","59","1","0","96","46","167"
"[object Object]","2020","Ezekiel Elliott","Cowboys","15","244","979","578","6","20","10","62","5","4","96","41","169"
"[object Object]","2021","Ezekiel Elliott","Cowboys","17","237","1002","589","10","8","8","55","1","1","96","34","139"
"[object Object]","2022","Ezekiel Elliott","Cowboys","15","231","876","521","12","20","7","52","0","0","96","31","147"
"[object Object]","2015","Jonathan Stewart","Panthers","13","242","989","546","6","46","0","32","3","2","96","40","0"
"[object Object]","2016","Jeremy Hill","Bengals","15","222","839","528","9","28","0","39","0","0","96","47","153"
"[object Object]","2016","Carlos Hyde","49ers","13","217","988","655","6","48","0","45","4","2","95","44","140"
"[object Object]","2016","Terrance West","Ravens","16","193","774","576","5","42","0","30","2","0","95","41","124"
"[object Object]","2017","Derrick Henry","Titans","16","176","744","533","5","41","0","40","2","0","95","45","110"
"[object Object]","2018","Joe Mixon","Bengals","14","237","1168","625","8","17","23","60","0","0","94","50","128"
"[object Object]","2020","Melvin Gordon","Broncos","15","215","986","532","9","28","17","46","1","1","94","47","141"
"[object Object]","2018","David Johnson","Cardinals","16","258","940","519","7","19","10","51","2","2","94","37","165"
"[object Object]","2016","Jordan Howard","Bears","15","252","1313","658","6","37","0","66","1","1","93","43","190"
"[object Object]","2016","Lamar Miller","Texans","14","268","1073","474","5","27","0","49","2","1","93","40","210"
"[object Object]","2017","Marshawn Lynch","Raiders","15","207","891","615","7","51","0","45","1","1","93","40","145"
"[object Object]","2016","Matt Forte","Jets","14","218","813","469","7","24","0","28","1","1","93","40","154"
"[object Object]","2018","Chris Carson","Seahawks","14","247","1151","718","9","39","19","61","3","2","92","40","149"
"[object Object]","2022","Miles Sanders","Eagles","17","259","1269","651","11","28","14","62","1","1","92","42","178"
"[object Object]","2021","Antonio Gibson","Football Team","16","258","1037","549","7","21","12","65","5","3","92","45","199"
"[object Object]","2018","James Conner","Steelers","13","215","973","583","12","24","11","57","3","1","92","34","113"
"[object Object]","2021","Javonte Williams","Broncos","17","203","903","670","4","35","9","52","2","1","92","41","104"
"[object Object]","2017","Isaiah Crowell","Browns","16","206","853","548","2","22","0","38","1","1","92","37","136"
"[object Object]","2022","Rhamondre Stevenson","Patriots","17","210","1040","714","5","16","19","49","2","1","91","38","139"
"[object Object]","2021","Dalvin Cook","Vikings","13","249","1159","538","6","19","14","57","3","2","91","61","163"
"[object Object]","2019","David Montgomery","Bears","16","242","889","460","6","31","14","50","2","2","91","42","151"
"[object Object]","2017","Alex Collins","Ravens","15","212","973","592","6","53","0","53","2","2","91","47","138"
"[object Object]","2019","Marlon Mack","Colts","14","247","1091","566","8","20","18","67","0","0","90","55","145"
"[object Object]","2021","Nick Chubb","Browns","14","228","1259","727","8","19","16","62","2","1","90","32","153"
"[object Object]","2019","Todd Gurley","Rams","15","223","857","562","12","32","6","50","3","2","90","46","127"
"[object Object]","2016","Le'Veon Bell","Steelers","12","261","1268","640","7","42","0","62","3","1","90","33","191"
"[object Object]","2020","James Robinson","Jaguars","14","240","1070","675","7","21","16","54","1","0","89","34","163"
"[object Object]","2019","Saquon Barkley","Giants","13","217","1003","670","6","25","15","45","0","0","89","46","134"
"[object Object]","2018","Nick Chubb","Browns","16","192","996","789","8","29","12","47","0","0","89","45","104"
"[object Object]","2016","Devonta Freeman","Falcons","16","227","1079","549","11","55","0","57","1","1","89","49","158"
"[object Object]","2017","Latavius Murray","Vikings","16","216","842","491","8","29","0","42","1","0","89","42","144"
"[object Object]","2022","Alvin Kamara","Saints","15","223","897","538","2","20","9","40","2","2","88","39","154"
"[object Object]","2021","Elijah Mitchell","49ers","11","207","963","600","5","20","8","47","0","0","88","37","151"
"[object Object]","2017","Mark Ingram","Saints","16","230","1124","673","12","39","0","50","2","2","88","33","168"
"[object Object]","2017","LeGarrette Blount","Eagles","15","173","766","648","2","45","0","33","1","1","88","37","124"
"[object Object]","2022","Kenneth Walker III","Seahawks","15","228","1050","568","9","28","22","51","0","0","87","54","130"
"[object Object]","2022","Brian Robinson Jr.","Commanders","12","205","797","495","2","18","7","49","2","0","87","29","125"
"[object Object]","2015","Eddie Lacy","Packers","15","187","758","492","3","29","0","35","3","2","87","44","0"
"[object Object]","2015","Alfred Morris","Redskins","16","202","751","454","1","21","0","28","0","0","87","37","0"
"[object Object]","2019","Josh Jacobs","Raiders","13","242","1150","713","7","42","16","53","1","1","86","37","162"
"[object Object]","2019","Adrian Peterson","Redskins","15","211","898","523","5","15","21","40","2","1","85","38","107"
"[object Object]","2022","Travis Etienne","Jaguars","17","220","1125","609","5","30","18","52","3","3","85","48","148"
"[object Object]","2022","Tyler Allgeier","Falcons","16","210","1035","707","3","28","15","53","0","0","85","29","146"
"[object Object]","2019","Aaron Jones","Packers","16","236","1084","620","16","31","13","55","1","1","85","40","140"
"[object Object]","2015","Darren McFadden","Cowboys","16","239","1089","576","3","24","0","41","3","3","85","41","0"
"[object Object]","2020","Jonathan Taylor","Colts","15","232","1169","611","11","12","20","69","1","1","84","39","157"
