"season","team","total_points","total_yards","rz_eff","rz_td_eff","rz_fg_eff","total_to","def_td","spec_tds"
2012,"ARI",250,4209,0.697674418604651,0.372093023255814,0.325581395348837,31,4,1
2012,"ATL",419,5906,0.904761904761905,0.587301587301587,0.317460317460317,18,2,0
2012,"BAL",398,5640,0.877551020408163,0.571428571428571,0.306122448979592,15,2,1
2012,"BUF",344,5486,0.8125,0.5,0.3125,34,1,3
2012,"CAR",357,5771,0.826086956521739,0.58695652173913,0.239130434782609,18,3,0
2012,"CHI",375,4969,0.891304347826087,0.5,0.391304347826087,23,9,0
2012,"CIN",391,5323,0.87719298245614,0.543859649122807,0.333333333333333,26,3,2
2012,"CLE",302,5028,0.871794871794872,0.435897435897436,0.435897435897436,23,2,1
2012,"DAL",376,5994,0.897959183673469,0.510204081632653,0.387755102040816,27,3,2
2012,"DEN",481,6366,0.865671641791045,0.582089552238806,0.283582089552239,23,6,1
2012,"DET",372,6540,0.836363636363636,0.6,0.236363636363636,30,0,2
2012,"GB",433,5751,0.872340425531915,0.680851063829787,0.191489361702128,15,2,1
2012,"HOU",416,5953,0.947368421052632,0.56140350877193,0.385964912280702,17,3,2
2012,"IND",357,5799,0.833333333333333,0.541666666666667,0.291666666666667,25,4,1
2012,"JAX",255,4788,0.833333333333333,0.444444444444444,0.388888888888889,25,0,0
2012,"KC",211,5108,0.684210526315789,0.263157894736842,0.421052631578947,35,1,1
2012,"MIA",288,4984,0.842105263157895,0.552631578947368,0.289473684210526,24,0,2
2012,"MIN",379,5385,0.884615384615385,0.538461538461538,0.346153846153846,23,3,1
2012,"NE",557,6846,0.942857142857143,0.7,0.242857142857143,15,5,2
2012,"NO",461,6574,0.88135593220339,0.661016949152542,0.220338983050847,23,4,1
2012,"NYG",429,5687,0.903225806451613,0.548387096774194,0.354838709677419,21,2,0
2012,"NYJ",281,4787,0.765957446808511,0.48936170212766,0.276595744680851,34,3,2
2012,"LV",290,5504,0.883720930232558,0.418604651162791,0.465116279069767,24,0,2
2012,"PHI",280,5665,0.803921568627451,0.450980392156863,0.352941176470588,33,0,1
2012,"PIT",336,5324,0.918367346938776,0.551020408163265,0.36734693877551,29,1,0
2012,"LAC",350,4756,0.851063829787234,0.468085106382979,0.382978723404255,25,7,1
2012,"SEA",412,5610,0.928571428571429,0.571428571428571,0.357142857142857,17,2,0
2012,"SF",397,5789,0.872727272727273,0.509090909090909,0.363636363636364,14,3,0
2012,"LA",299,5264,0.756756756756757,0.513513513513513,0.243243243243243,20,5,0
2012,"TB",389,5820,0.770833333333333,0.583333333333333,0.1875,20,3,0
2012,"TEN",330,5010,0.888888888888889,0.5,0.388888888888889,28,5,4
