"game_id","week","team","starting_line"
"2022_01_BAL_NYJ",1,"BAL","Ben Powers, Kevin Zeitler, Morgan Moses, Patrick Mekari, Tyler Linderbaum"
"2022_01_BAL_NYJ",1,"NYJ","Alijah Vera-Tucker, Connor McGovern, George Fant, Laken Tomlinson, Max Mitchell"
"2022_01_BUF_LA",1,"BUF","Dion Dawkins, Mitch Morse, Rodger Saffold, Ryan Bates, Spencer Brown"
"2022_01_BUF_LA",1,"LA","Brian Allen, Coleman Shelton, David Edwards, Joseph Noteboom, Rob Havenstein"
"2022_01_CLE_CAR",1,"CAR","Austin Corbett, Brady Christensen, Ikem Ekwonu, Pat Elflein, Taylor Moton"
"2022_01_CLE_CAR",1,"CLE","Ethan Pocic, James Hudson, Jedrick Wills Jr., Joel Bitonio, Wyatt Teller"
"2022_01_DEN_SEA",1,"DEN","Cameron Fleming, Dalton Risner, Garett Bolles, Graham Glasgow, Lloyd Cushenberry III"
"2022_01_DEN_SEA",1,"SEA","Abraham Lucas, Austin Blythe, Charles Cross, Gabe Jackson, Phil Haynes"
"2022_01_GB_MIN",1,"GB","Jake Hanson, Jon Runyan, Josh Myers, Royce Newman, Yosuah Nijman"
"2022_01_GB_MIN",1,"MIN","Brian O'Neill, Christian Darrisaw, Ed Ingram, Ezra Cleveland, Garrett Bradbury"
"2022_01_IND_HOU",1,"HOU","A.J. Cann, Justin Britt, Kenyon Green, Laremy Tunsil, Tytus Howard"
"2022_01_IND_HOU",1,"IND","Braden Smith, Danny Pinter, Matt Pryor, Quenton Nelson, Ryan Kelly"
"2022_01_JAX_WAS",1,"JAX","Ben Bartch, Brandon Scherff, Cam Robinson, Jawaan Taylor, Luke Fortner"
"2022_01_JAX_WAS",1,"WAS","Andrew Norwell, Charles Leno Jr., Chase Roullier, Samuel Cosmi, Trai Turner"
"2022_01_KC_ARI",1,"ARI","D.J. Humphries, Kelvin Beachum, Rodney Hudson, Sean Harlow, Will Hernandez"
"2022_01_KC_ARI",1,"KC","Andrew Wylie, Creed Humphrey, Joe Thuney, Nick Allegretti, Orlando Brown Jr."
"2022_01_LV_LAC",1,"LAC","Corey Linsley, Matt Feiler, Rashawn Slater, Trey Pipkins, Zion Johnson"
"2022_01_LV_LAC",1,"LV","Andre James, Dylan Parham, Jermaine Eluemunor, John Simpson, Kolton Miller"
"2022_01_NE_MIA",1,"MIA","Connor Williams, Greg Little, Liam Eichenberg, Robert Hunt, Terron Armstead"
"2022_01_NE_MIA",1,"NE","Cole Strange, David Andrews, Isaiah Wynn, Michael Onwenu, Trent Brown"
"2022_01_NO_ATL",1,"ATL","Chris Lindstrom, Drew Dalman, Elijah Wilkinson, Jake Matthews, Kaleb McGary"
"2022_01_NO_ATL",1,"NO","Andrus Peat, Cesar Ruiz, Erik McCoy, James Hurst, Ryan Ramczyk"
"2022_01_NYG_TEN",1,"NYG","Andrew Thomas, Ben Bredeson, Evan Neal, Jon Feliciano, Mark Glowinski"
"2022_01_NYG_TEN",1,"TEN","Aaron Brewer, Ben Jones, Nate Davis, Nicholas Petit-Frere, Taylor Lewan"
"2022_01_PHI_DET",1,"DET","Frank Ragnow, Jonah Jackson, Logan Stenberg, Penei Sewell, Taylor Decker"
"2022_01_PHI_DET",1,"PHI","Isaac Seumalo, Jason Kelce, Jordan Mailata, Landon Dickerson, Lane Johnson"
"2022_01_PIT_CIN",1,"CIN","Alex Cappa, Cordell Volson, Jonah Williams, La'el Collins, Ted Karras"
"2022_01_PIT_CIN",1,"PIT","Chukwuma Okorafor, Dan Moore, James Daniels, Kevin Dotson, Mason Cole"
"2022_01_SF_CHI",1,"CHI","Braxton Jones, Cody Whitehair, Larry Borom, Sam Mustipher, Teven Jenkins"
"2022_01_SF_CHI",1,"SF","Aaron Banks, Jake Brendel, Mike McGlinchey, Spencer Burford, Trent Williams"
"2022_01_TB_DAL",1,"DAL","Matt Farniok, Terence Steele, Tyler Biadasz, Tyler Smith, Zack Martin"
