"team","combos","adj_line_yards","power_rank","stuffed_rank","avg_elu"
"LV",7,4.93,23,6,32.7818181818182
"GB",8,4.85,18,2,42.95
"KC",5,4.82,31,9,32.9928571428571
"SF",6,4.7,26,22,46.42
"ATL",4,4.68,17,5,47.9636363636364
"PHI",5,4.66,7,7,62.9375
"DET",7,4.66,20,18,34.9272727272727
"MIA",7,4.61,30,14,39.4923076923077
"CAR",3,4.56,14,11,42.3222222222222
"PIT",2,4.54,1,4,36.9615384615385
"CHI",10,4.52,3,3,36.3571428571429
"NO",9,4.5,9,8,27.4272727272727
"BUF",7,4.42,4,16,25.5125
"CLE",4,4.41,13,28,34.4307692307692
"LA",13,4.39,11,20,21.35
"CIN",4,4.38,20,13,34.575
"DAL",6,4.37,5,17,20.9555555555556
"TEN",6,4.37,7,15,36.0818181818182
"NE",6,4.36,27,25,32.05
"DEN",9,4.35,14,19,63.90625
"BAL",6,4.35,19,23,38.625
"IND",6,4.32,29,12,33.5666666666667
"WAS",10,4.29,10,1,86.1357142857143
"NYG",6,4.24,2,21,18.5454545454545
"MIN",6,4.24,32,31,25.1545454545455
"LAC",6,4.23,12,27,33.525
"ARI",12,4.22,6,10,21.8416666666667
"TB",8,4.07,25,24,44.72
"JAX",3,4.06,28,32,34.01
"SEA",5,4.04,22,29,30.4545454545455
"HOU",5,3.9,16,26,24.1727272727273
"NYJ",9,3.81,24,30,43.4428571428571
