"player","team","att","comp","catchable","on_tgt","yds","air_yards","intended_air_yards","tds","ints","sacks","pressures","pa_att","pa_comp","pa_catchable","pa_on_tgt","pa_yds","pa_air_yards","pa_intended_air_yards","pa_tds","pa_ints","pa_sacks","pa_pressures"
"Joe Burrow","Bengals",501,352,415,378,3726,1870,3060,27,10,36,141,105,62,77,70,749,419,1037,8,2,5,37
"Tom Brady","Buccaneers",605,407,490,445,3716,1826,3880,20,8,22,122,128,83,98,88,978,467,922,5,1,0,26
"Patrick Mahomes","Chiefs",464,303,359,316,3645,1684,3277,26,11,23,169,184,132,154,142,1605,670,1190,15,1,3,55
"Kirk Cousins","Vikings",446,285,354,313,3143,1839,3342,18,11,36,159,197,139,161,146,1404,681,1226,11,3,10,87
"Justin Herbert","Chargers",488,323,390,336,3143,1560,3244,15,9,29,186,211,154,175,155,1596,669,1060,10,1,9,82
"Geno Smith","Seahawks",417,284,345,303,2956,1777,3151,21,8,37,157,155,115,127,116,1326,661,1021,9,3,9,61
"Jared Goff","Lions",421,266,325,280,2936,1311,2761,12,4,16,127,166,116,139,113,1502,799,1149,17,3,7,46
"Josh Allen","Bills",401,243,306,263,2905,1726,3487,21,10,28,152,166,116,137,122,1378,881,1341,14,4,5,44
"Trevor Lawrence","Jaguars",435,285,352,323,2780,1529,3138,20,7,18,134,149,102,121,107,1333,454,908,5,1,9,53
"Russell Wilson","Broncos",367,227,279,242,2698,1323,2802,12,7,46,145,116,65,84,70,826,448,1084,4,4,9,46
"Derek Carr","Raiders",397,234,294,258,2671,1526,3347,18,10,20,135,105,71,82,77,851,420,964,6,4,7,45
"Matt Ryan","Colts",375,262,314,275,2494,1389,2216,11,11,32,152,86,47,59,54,563,227,507,3,2,6,30
"Jalen Hurts","Eagles",303,203,250,219,2411,1276,2457,13,4,29,102,157,103,121,109,1290,584,1048,9,2,9,53
"Aaron Rodgers","Packers",364,230,284,246,2392,1192,2850,12,9,23,108,178,120,143,127,1308,528,1144,14,3,9,41
"Mac Jones","Patriots",355,225,283,253,2326,1328,2886,11,8,30,114,87,63,68,61,670,174,389,3,3,4,27
"Andy Dalton","Saints",315,201,252,229,2238,1179,2406,16,9,22,93,63,51,54,50,633,367,446,2,0,3,25
"Daniel Jones","Giants",314,200,244,219,2122,1038,1799,8,3,29,131,158,117,134,120,1083,518,936,7,2,15,80
"Dak Prescott","Cowboys",289,193,242,211,2120,1254,2340,16,14,14,90,105,68,86,79,740,380,828,7,1,6,38
"Davis Mills","Texans",349,210,252,211,2076,1085,2549,13,15,24,145,130,82,95,76,1042,513,1020,4,0,7,56
"Kenny Pickett","Steelers",319,199,244,225,2049,1228,2477,7,8,23,123,70,46,51,47,355,112,335,0,1,4,25
"Tua Tagovailoa","Dolphins",226,146,187,154,1943,1244,2014,20,4,15,69,174,113,141,120,1605,966,1678,5,4,6,57
"Jacoby Brissett","Browns",292,184,230,192,1934,1170,2433,10,5,21,94,77,52,58,53,674,359,669,2,1,3,31
"Jimmy Garoppolo","49ers",241,160,194,165,1904,827,1614,12,4,12,88,67,47,58,49,533,135,414,4,0,6,17
"Kyler Murray","Cardinals",313,200,250,225,1672,670,1798,11,5,22,76,77,59,68,59,696,395,633,3,2,3,20
"Baker Mayfield","Rams",226,133,176,150,1456,739,1533,9,7,26,82,109,68,79,69,707,279,608,1,1,10,43
"Ryan Tannehill","Titans",230,147,185,167,1410,802,1610,9,4,23,93,95,65,80,76,1126,518,840,4,2,10,38
"Matthew Stafford","Rams",225,152,172,154,1382,665,1343,9,7,24,86,78,54,61,58,705,273,548,1,1,5,19
"Justin Fields","Bears",201,121,147,119,1364,698,1566,10,8,40,103,117,71,82,73,875,545,1114,7,3,15,58
"Lamar Jackson","Ravens",202,118,149,123,1263,712,1613,11,5,17,67,124,85,94,86,979,502,951,6,2,9,43
"Carson Wentz","Commanders",198,124,153,136,1228,640,1524,7,7,21,75,78,48,59,54,527,245,527,4,2,5,24
"Zach Wilson","Jets",170,93,111,94,1144,579,1424,4,5,16,72,72,39,46,40,544,259,551,2,2,7,32
"Marcus Mariota","Falcons",166,98,113,95,1135,652,1546,6,5,19,65,134,86,105,84,1084,620,1331,9,4,10,56
"Taylor Heinicke","Commanders",163,98,116,105,1006,536,1121,5,4,14,71,96,63,70,61,853,525,925,7,2,5,45
"Brock Purdy","49ers",127,84,105,88,999,515,828,9,3,9,48,43,30,38,29,375,147,277,4,1,2,15
"Mitchell Trubisky","Steelers",143,88,114,98,949,700,1390,3,3,8,40,37,29,31,29,303,160,314,1,2,3,14
"Joe Flacco","Jets",156,88,115,93,810,455,1134,5,3,7,60,35,22,28,24,239,152,300,0,0,3,16
"Mike White","Jets",131,79,104,89,778,451,970,2,3,6,38,44,24,30,26,414,145,306,1,1,3,17
"Deshaun Watson","Browns",118,63,85,72,690,383,880,3,3,16,44,52,36,39,36,412,178,237,4,2,4,23
"Sam Darnold","Panthers",83,48,59,55,681,337,671,5,2,9,35,57,34,40,36,462,227,394,2,1,1,23
"Cooper Rush","Cowboys",116,62,81,73,664,343,810,3,2,7,44,46,32,37,33,387,232,433,2,1,0,12
"Colt McCoy","Cardinals",102,72,82,74,580,248,498,1,1,10,35,30,18,23,19,200,149,292,0,2,3,9
"Phillip Walker","Panthers",68,39,52,46,500,274,482,3,2,5,16,38,24,29,27,231,33,301,0,1,2,8
"Tyler Huntley","Ravens",84,58,71,62,492,301,545,2,2,5,21,28,17,21,16,166,101,220,0,1,2,16
"Desmond Ridder","Falcons",66,47,57,53,441,271,544,1,0,8,25,49,26,35,30,267,91,329,1,0,1,21
"John Wolford","Rams",31,19,22,22,160,95,277,1,2,5,15,31,19,24,19,230,91,198,0,1,2,15
