"team","season","team_conf","team_division","week","div_game","wins","loss","tie","div_w","div_l","div_t","div_rank","team_score","opponent_score","points_for","points_agg","week_diff","points_per_game","points_agg_game","rolling_earlydown_epa","rolling_epaper_play","rolling_success_play","rolling_db_epa","rolling_rush_success","playoffs"
"ARI",2012,"NFC","NFC West",1,1,0,0,0,0,0,0,4,20,16,20,16,4,20,16,-7.37400516759953,-0.139852148219274,37.7049180327869,0.0171427971952051,15.7894736842105,"0"
"ATL",2012,"NFC","NFC South",1,0,0,0,0,0,0,0,1,40,24,40,24,16,40,24,13.9144447660074,0.375781153597239,52.7272727272727,0.744138415325366,25,"1"
"BAL",2012,"AFC","AFC North",1,1,0,0,0,0,0,0,1,44,13,44,13,31,44,13,19.4796281579183,0.354587370092792,53.3333333333333,0.449475444658631,57.1428571428571,"1"
"BUF",2012,"AFC","AFC East",1,1,0,0,0,0,0,0,4,28,48,28,48,-20,28,48,-7.98938489879947,0.0969634923249638,43.3333333333333,-0.00199831087339782,37.037037037037,"0"
"CAR",2012,"NFC","NFC South",1,1,0,0,0,0,0,0,2,10,16,10,16,-6,10,16,2.75779026251985,-0.105098608771839,40,0.0750152724144037,25,"0"
"CHI",2012,"NFC","NFC North",1,0,0,0,0,0,0,0,3,41,21,41,21,20,41,21,7.40529119677376,0.143058457574296,41.6666666666667,0.229971557001973,32.258064516129,"0"
"CIN",2012,"AFC","AFC North",1,1,0,0,0,0,0,0,2,13,44,13,44,-31,13,44,4.6618789487984,-0.138526557499087,41.4285714285714,-0.372008142418007,39.2857142857143,"1"
"CLE",2012,"AFC","AFC North",1,0,0,0,0,0,0,0,4,16,17,16,17,-1,16,17,-12.5815891855746,-0.386451391386365,26.2295081967213,-0.447083802414337,19.047619047619,"0"
"DAL",2012,"NFC","NFC East",1,1,0,0,0,0,0,0,3,24,17,24,17,7,24,17,15.2602846849477,0.218008337861607,55.1724137931034,0.385142963483783,48,"0"
"DEN",2012,"AFC","AFC West",1,0,0,0,0,0,0,0,1,31,19,31,19,12,31,19,9.8314515981474,0.246491768107274,58.4905660377358,0.513094511608437,47.8260869565217,"1"
"DET",2012,"NFC","NFC North",1,0,0,0,0,0,0,0,4,27,23,27,23,4,27,23,-6.80848529766081,-0.0845620021403112,56.0606060606061,-0.150780456268823,50,"0"
"GB",2012,"NFC","NFC North",1,0,0,0,0,0,0,0,1,22,30,22,30,-8,22,30,1.39549950649962,0.0393105357105204,47.7611940298507,0.100374889914308,0,"1"
"HOU",2012,"AFC","AFC South",1,0,0,0,0,0,0,0,1,30,10,30,10,20,30,10,4.64441109812469,0.128877713832336,45.4545454545455,0.412197039015869,35.4838709677419,"1"
"IND",2012,"AFC","AFC South",1,0,0,0,0,0,0,0,2,21,41,21,41,-20,21,41,-3.0435905038612,-0.0589217888202406,45.4545454545455,-0.0570504698303318,23.0769230769231,"1"
"JAX",2012,"AFC","AFC South",1,0,0,0,0,0,0,0,4,23,26,23,26,-3,23,26,0.0698013984365389,0.0797753905773383,48.0519480519481,0.300009196626203,40.625,"0"
"KC",2012,"AFC","AFC West",1,0,0,0,0,0,0,0,4,24,40,24,40,-16,24,40,2.84269397286698,0.100969532694311,47.0588235294118,0.0834837411129712,45.1612903225806,"0"
"MIA",2012,"AFC","AFC East",1,0,0,0,0,0,0,0,2,10,30,10,30,-20,10,30,-10.25158758834,-0.426238410604235,39.344262295082,-0.475209450220856,45.4545454545455,"0"
"MIN",2012,"NFC","NFC North",1,0,0,0,0,0,0,0,2,26,23,26,23,3,26,23,8.7558234850294,0.0273789786683184,49.1525423728814,0.0197066998129518,46.4285714285714,"1"
"NE",2012,"AFC","AFC East",1,0,0,0,0,0,0,0,1,34,13,34,13,21,34,13,14.7613607608364,0.228795454233544,54.5454545454545,0.305269357857354,47.0588235294118,"1"
"NO",2012,"NFC","NFC South",1,0,0,0,0,0,0,0,3,32,40,32,40,-8,32,40,-1.14534515026025,-0.0498939377121251,41.4285714285714,-0.0352081861818804,45.4545454545455,"0"
"NYG",2012,"NFC","NFC East",1,1,0,0,0,0,0,0,2,17,24,17,24,-7,17,24,-6.78097452077782,0.0240312395331734,36.3636363636364,0.142129318911548,26.3157894736842,"0"
"NYJ",2012,"AFC","AFC East",1,1,0,0,0,0,0,0,3,48,28,48,28,20,48,28,-1.07240271021146,0.266599061387289,40.625,0.705829416203137,19.4444444444444,"0"
"OAK",2012,"AFC","AFC West",1,1,0,0,0,0,0,0,3,14,22,14,22,-8,14,22,NA,NA,NA,NA,NA,"0"
"PHI",2012,"NFC","NFC East",1,0,0,0,0,0,0,0,4,17,16,17,16,1,17,16,-19.3804794431198,-0.155703537458827,41.7582417582418,-0.144866701235305,53.8461538461538,"0"
"PIT",2012,"AFC","AFC North",1,0,0,0,0,0,0,0,3,19,31,19,31,-12,19,31,-17.3062527475704,-0.00678516306964089,40,0.0486790832713698,30.7692307692308,"0"
"SD",2012,"AFC","AFC West",1,1,0,0,0,0,0,0,2,22,14,22,14,8,22,14,NA,NA,NA,NA,NA,"0"
"SEA",2012,"NFC","NFC West",1,1,0,0,0,0,0,0,2,16,20,16,20,-4,16,20,-11.0915362084634,-0.127744712327809,36.8421052631579,-0.123283121928194,30.7692307692308,"1"
"SF",2012,"NFC","NFC West",1,0,0,0,0,0,0,0,1,30,22,30,22,8,30,22,15.968220093361,0.270079472634007,59.375,0.309080894467335,57.1428571428571,"1"
"STL",2012,"NFC","NFC West",1,0,0,0,0,0,0,0,3,23,27,23,27,-4,23,27,NA,NA,NA,NA,NA,"0"
