"season","team","total_points","total_yards"
2012,"ARI",250,4209
2012,"ATL",419,5906
2012,"BAL",398,5640
2012,"BUF",344,5486
2012,"CAR",357,5771
2012,"CHI",375,4969
2012,"CIN",391,5323
2012,"CLE",302,5028
2012,"DAL",376,5994
2012,"DEN",481,6366
2012,"DET",372,6540
2012,"GB",433,5751
2012,"HOU",416,5953
2012,"IND",357,5799
2012,"JAX",255,4788
2012,"KC",211,5108
2012,"MIA",288,4984
2012,"MIN",379,5385
2012,"NE",557,6846
2012,"NO",461,6574
2012,"NYG",429,5687
2012,"NYJ",281,4787
2012,"LV",290,5504
2012,"PHI",280,5665
2012,"PIT",336,5324
2012,"LAC",350,4756
2012,"SEA",412,5610
2012,"SF",397,5789
2012,"LA",299,5264
2012,"TB",389,5820
2012,"TEN",330,5010
2012,"WAS",436,6131
2013,"ARI",379,5542
2013,"ATL",353,5490
2013,"BAL",320,4918
2013,"BUF",339,5410
2013,"CAR",366,5069
2013,"CHI",445,6109
2013,"CIN",430,5891
2013,"CLE",308,5430
2013,"DAL",439,5458
2013,"DEN",606,7317
2013,"DET",395,6274
2013,"GB",417,6404
2013,"HOU",276,5556
2013,"IND",391,5468
2013,"JAX",247,4701
2013,"KC",430,5396
2013,"MIA",317,5007
2013,"MIN",391,5508
2013,"NE",444,6152
2013,"NO",414,6391
2013,"NYG",294,4920
2013,"NYJ",290,5090
2013,"LV",322,5340
2013,"PHI",442,6668
2013,"PIT",379,5400
2013,"LAC",396,6293
2013,"SEA",417,5424
2013,"SF",406,5180
2013,"LA",348,4877
2013,"TB",288,4432
2013,"TEN",362,5390
2013,"WAS",334,5915
2014,"ARI",310,5116
2014,"ATL",381,6051
2014,"BAL",409,5838
2014,"BUF",343,5096
2014,"CAR",339,5547
2014,"CHI",319,5233
2014,"CIN",365,5568
2014,"CLE",299,5193
2014,"DAL",467,6138
2014,"DEN",482,6446
2014,"DET",321,5452
2014,"GB",486,6178
2014,"HOU",372,5513
2014,"IND",458,6506
2014,"JAX",249,4634
2014,"KC",353,5100
2014,"MIA",388,5601
2014,"MIN",325,5048
2014,"NE",468,5848
2014,"NO",401,6582
2014,"NYG",380,5875
2014,"NYJ",283,5226
2014,"LV",253,4515
2014,"PHI",474,6348
2014,"PIT",436,6577
2014,"LAC",348,5465
2014,"SEA",394,6012
2014,"SF",306,5239
2014,"LA",324,5035
2014,"TB",277,4672
2014,"TEN",254,4859
2014,"WAS",301,5738
2015,"ARI",489,6533
2015,"ATL",339,5985
2015,"BAL",328,5749
2015,"BUF",379,5775
2015,"CAR",500,5871
2015,"CHI",335,5514
2015,"CIN",419,5728
2015,"CLE",278,5311
2015,"DAL",275,5361
2015,"DEN",355,5688
2015,"DET",358,5547
2015,"GB",368,5350
2015,"HOU",339,5564
2015,"IND",333,5142
2015,"JAX",376,5581
2015,"KC",405,5299
2015,"MIA",310,5307
2015,"MIN",365,5139
2015,"NE",465,5991
2015,"NO",408,6461
2015,"NYG",420,5952
2015,"NYJ",387,5925
2015,"LV",359,5336
2015,"PHI",377,5830
2015,"PIT",423,6327
