GameId,Season,Week,HomeTeamId,HomeTeam,AwayTeamId,AwayTeam,StadiumName,CoveredStadium,HomeScore,AwayScore,SpreadLine,TotalLine,SpreadResult,TotalResult,Weather,PrecipIntensity,PrecipProbability,PrecipType,Temperature,WindSpeed
2793,2020,1,16,Chiefs,13,Texans,Arrowhead Stadium,0,34,20,9.5,53.5,14,54,Mostly Cloudy,0.0002,0.01,rain,57.33,6
2794,2020,1,2,Falcons,27,Seahawks,Mercedes-Benz Stadium,1,25,38,1,49.5,-13,63,Mostly Cloudy,0,0,NA,80.25,4
2795,2020,1,3,Ravens,8,Browns,M&T Bank Stadium,0,38,6,7,47,32,44,Partly Cloudy,0.0011,0.029999999,rain,75.76999664,5
2796,2020,1,4,Bills,22,Jets,Highmark Stadium,0,27,17,6.5,39.5,10,44,Possible Light Rain,0.019300001,0.330000013,rain,70.27999878,15
2797,2020,1,5,Panthers,23,Raiders,Bank of America Stadium,0,30,34,-3,48,-4,64,Clear,0.0014,0.02,rain,80.16999817,3
2798,2020,1,11,Lions,6,Bears,Ford Field,1,23,27,2.5,42.5,-4,50,Clear,0.0014,0.01,rain,74.80999756,12
2799,2020,1,15,Jaguars,14,Colts,TIAA Bank Field,0,27,20,-7,44,7,47,Rain and Humid,0.0535,0.340000004,rain,86.43000031,8
2800,2020,1,18,Vikings,12,Packers,U.S. Bank Stadium,1,34,43,1,45,-9,77,Clear,0.0011,0.01,rain,63.97000122,3
2801,2020,1,19,Patriots,17,Dolphins,Gillette Stadium,0,21,11,7.5,41.5,10,32,Partly Cloudy,0.0014,0.01,rain,73.09999847,7
2802,2020,1,32,Football Team,24,Eagles,FedEx Field,0,27,17,-5.5,41.5,10,44,Partly Cloudy,0.0002,0.01,rain,76.37999725,4
2803,2020,1,7,Bengals,26,Chargers,Paul Brown Stadium,0,13,16,-2.5,41.5,-3,29,Mostly Cloudy,0,0,NA,83.76999664,4
2804,2020,1,20,Saints,30,Buccaneers,Mercedes-Benz Superdome,1,34,23,4,48.5,11,57,Humid and Partly Cloudy,0.0002,0.039999999,rain,88.48999786,9
2805,2020,1,28,49ers,1,Cardinals,Levi's Stadium,0,20,24,7,48.5,-4,44,Clear,0,0,NA,71.66000366,6
2806,2020,1,29,Rams,9,Cowboys,SoFi Stadium,0,20,17,1,52,3,37,Clear,0,0,NA,74.76999664,8
2807,2020,1,21,Giants,25,Steelers,MetLife Stadium,0,16,26,-6,44,-10,42,Clear,0,0,NA,71.06999969,11
2808,2020,1,10,Broncos,31,Titans,Empower Field at Mile High,0,14,16,-3,41,-2,30,Foggy,0,0,NA,78.38999939,8
2809,2020,2,8,Browns,7,Bengals,FirstEnergy Stadium,0,35,30,6,44.5,5,65,Clear,0,0,NA,64.33000183,7
2810,2020,2,6,Bears,21,Giants,Soldier Field,0,17,13,4.5,42.5,4,30,Clear,0,0,NA,66.91000366,9
2811,2020,2,9,Cowboys,2,Falcons,AT&T Stadium,1,40,39,3,53,1,79,Clear,0,0,NA,74.19000244,8
2812,2020,2,12,Packers,11,Lions,Lambeau Field,0,42,21,7,51,21,63,Clear,0,0,NA,68.23000336,12
2813,2020,2,14,Colts,18,Vikings,Lucas Oil Stadium,1,28,11,3.5,49,17,39,Clear,0,0,NA,68.5,10
2814,2020,2,17,Dolphins,4,Bills,Hard Rock Stadium,0,28,31,-5.5,42.5,-3,59,Humid and Partly Cloudy,0.0108,0.029999999,rain,89.81999969,8
2815,2020,2,22,Jets,28,49ers,MetLife Stadium,0,13,31,-7,41.5,-18,44,Clear,0,0,NA,62.63999939,10
2816,2020,2,24,Eagles,29,Rams,Lincoln Financial Field,0,19,37,2,46,-18,56,Clear,0,0,NA,62.54000092,8
2817,2020,2,25,Steelers,10,Broncos,Heinz Field,0,26,21,6,41,5,47,Clear,0,0,NA,64.48999786,2
2818,2020,2,30,Buccaneers,5,Panthers,Raymond James Stadium,0,31,17,7.5,47,14,48,Humid and Mostly Cloudy,0.0072,0.039999999,rain,87.97000122,14
2819,2020,2,31,Titans,15,Jaguars,Nissan Stadium,0,33,30,7,44.5,3,63,Clear,0,0,NA,73.20999908,6
2820,2020,2,1,Cardinals,32,Football Team,State Farm Stadium,1,30,15,7.5,46.5,15,45,Clear,0,0,NA,100.8600006,3
2821,2020,2,13,Texans,3,Ravens,NRG Stadium,1,16,33,-7.5,49.5,-17,49,Rain,0.095100001,0.670000017,rain,74.06999969,15
2822,2020,2,26,Chargers,16,Chiefs,SoFi Stadium,0,20,23,-8.5,47,-3,43,Clear,0,0,NA,76.66000366,6
2823,2020,2,27,Seahawks,19,Patriots,Lumen Field,0,35,30,4,45,5,65,Partly Cloudy,0,0,NA,68.73000336,3
2824,2020,2,23,Raiders,20,Saints,Allegiant Stadium,1,34,24,-4,47.5,10,58,Clear,0,0,NA,95.23000336,14
2825,2020,3,15,Jaguars,17,Dolphins,TIAA Bank Field,0,13,31,3,49,-18,44,Humid,0.0023,0.029999999,rain,80.01999664,8
2826,2020,3,2,Falcons,6,Bears,Mercedes-Benz Stadium,1,26,30,2.5,46,-4,56,Partly Cloudy,0,0,NA,79.55000305,4
2827,2020,3,4,Bills,29,Rams,Highmark Stadium,0,35,32,1.5,46.5,3,67,Clear,0,0,NA,78.80999756,14
2828,2020,3,8,Browns,32,Football Team,FirstEnergy Stadium,0,34,20,7.5,45,14,54,Clear,0,0,NA,77.87999725,14
2829,2020,3,18,Vikings,31,Titans,U.S. Bank Stadium,1,30,31,-3,49.5,-1,61,Partly Cloudy,0,0,NA,63.5,12
2830,2020,3,19,Patriots,23,Raiders,Gillette Stadium,0,36,20,7,47,16,56,Mostly Cloudy,0.0007,0.01,rain,76.94999695,8
2831,2020,3,21,Giants,28,49ers,MetLife Stadium,0,9,36,-3,44,-27,45,Partly Cloudy,0,0,NA,78.05000305,5
2832,2020,3,24,Eagles,7,Bengals,Lincoln Financial Field,0,23,23,5.5,46.5,0,46,Mostly Cloudy,0.0004,0.01,rain,76.86000061,3
2833,2020,3,25,Steelers,13,Texans,Heinz Field,0,28,21,4,46.5,7,49,Clear,0,0,NA,76.54000092,4
2834,2020,3,14,Colts,22,Jets,Lucas Oil Stadium,1,36,7,12.5,44,29,43,Clear,0,0,NA,80.79000092,10
2835,2020,3,26,Chargers,5,Panthers,SoFi Stadium,0,16,21,6,43.5,-5,37,Clear,0,0,NA,75.11000061,6
2836,2020,3,1,Cardinals,11,Lions,State Farm Stadium,1,23,26,4.5,55.5,-3,49,Clear,0,0,NA,99.26999664,5
