Season,Player,Team,Att,Points Earned,PE Per Play,Points Above Avg,PAA Per Play,EPA,Positive%,PAR,WAR,Boom%,Bust%
2022,Patrick Mahomes,Chiefs,648,180.26,0.267,100.69,0.149,118.56,52.70%,158.1,4.8,25.10%,12.50%
2022,Justin Herbert,Chargers,699,137.61,0.187,54.21,0.074,-8.11,46.30%,117.3,3.6,21.20%,15.90%
2022,Trevor Lawrence,Jaguars,584,123.24,0.202,47.98,0.079,32.8,48.90%,100.3,3,23.70%,15.20%
2022,Jared Goff,Lions,587,121.4,0.199,48.4,0.079,64.74,49.00%,100.4,3,23.60%,13.30%
2022,Jalen Hurts,Eagles,460,105.95,0.213,48.11,0.097,10.92,45.80%,90.5,2.7,23.50%,16.10%
2022,Kirk Cousins,Vikings,643,104.33,0.151,24.04,0.035,-12.67,45.70%,82.9,2.5,21.30%,17.40%
2022,Tua Tagovailoa,Dolphins,400,102.28,0.243,44.93,0.107,66.16,50.40%,81,2.5,28.50%,15.70%
2022,Joe Burrow,Bengals,606,102.02,0.158,25.69,0.04,19.38,49.50%,81.1,2.5,23.60%,14.80%
2022,Josh Allen,Bills,567,100.17,0.167,29.38,0.049,47.94,50.30%,80.8,2.5,23.20%,12.70%
2022,Geno Smith,Seahawks,572,88.23,0.143,10.03,0.016,-16.07,47.90%,62.7,1.9,20.60%,17.60%
2022,Andy Dalton,Saints,378,87.21,0.216,34.01,0.084,-12.74,48.40%,68.6,2.1,21.60%,21.60%
2022,Daniel Jones,Giants,472,80.52,0.156,19.5,0.038,-35.56,44.20%,63.2,1.9,20.00%,20.50%
2022,Tom Brady,Buccaneers,733,80.5,0.107,-4.27,-0.006,12.1,47.50%,60.1,1.8,20.10%,12.20%
2022,Dak Prescott,Cowboys,394,74.93,0.181,28.5,0.069,7.87,50.20%,63.9,1.9,21.70%,17.60%
2022,Aaron Rodgers,Packers,542,70.8,0.123,0.04,0,-51.73,44.30%,48.5,1.5,20.60%,19.50%
2022,Derek Carr,Raiders,502,65.97,0.125,-1.28,-0.002,-11.17,42.90%,44.1,1.3,22.10%,17.00%
2022,Ryan Tannehill,Titans,325,63.89,0.178,16.04,0.045,-4.94,45.00%,46.7,1.4,23.50%,20.90%
2022,Jacoby Brissett,Browns,369,62.88,0.16,17.75,0.045,-20.84,43.50%,51.4,1.6,19.60%,19.10%
2022,Mac Jones,Patriots,442,49.54,0.104,-12.62,-0.027,-55.37,40.50%,28.2,0.9,17.20%,20.20%
2022,Lamar Jackson,Ravens,326,45.4,0.129,1.59,0.005,-17.13,42.90%,31.7,1,19.30%,16.50%
2022,Brock Purdy,49ers,170,44.78,0.247,22.49,0.124,26.15,49.70%,38,1.2,24.30%,14.90%
2022,Jimmy Garoppolo,49ers,308,42.3,0.13,0.33,0.001,29.66,50.30%,28.3,0.9,24.50%,16.60%
2022,Kyler Murray,Cardinals,390,41.92,0.101,-4.09,-0.01,-27.7,42.70%,31.2,0.9,21.20%,18.30%
2022,Russell Wilson,Broncos,483,38.54,0.072,-27.67,-0.051,-77.55,36.60%,18.3,0.6,18.40%,21.60%
2022,Sam Darnold,Panthers,140,37.26,0.248,18.03,0.12,5.12,43.30%,30.6,0.9,24.70%,16.00%
2022,Matt Ryan,Colts,461,35.95,0.072,-21.22,-0.043,-72.84,42.30%,21.5,0.7,23.40%,19.20%
