"player","position","team_name","player_game_count","avg_time_to_throw"
"Patrick Mahomes","QB","KC",20,2.85
"Tom Brady","QB","TB",18,2.31
"Justin Herbert","QB","LAC",18,2.75
"Joe Burrow","QB","CIN",19,2.51
"Josh Allen","QB","BUF",18,2.92
"Kirk Cousins","QB","MIN",18,2.7
"Trevor Lawrence","QB","JAX",19,2.51
"Geno Smith","QB","SEA",18,2.79
"Daniel Jones","QB","NYG",18,3.03
"Jalen Hurts","QB","PHI",18,2.86
"Jared Goff","QB","DET",17,2.7
"Aaron Rodgers","QB","GB",17,2.68
"Russell Wilson","QB","DEN",15,2.95
"Derek Carr","QB","LV",15,2.84
"Davis Mills","QB","HOU",15,2.66
"Matt Ryan","QB","IND",12,2.59
"Dak Prescott","QB","DAL",14,2.71
"Mac Jones","QB","NE",14,2.7
"Justin Fields","QB","CHI",15,3.45
"Kenny Pickett","QB","PIT",13,3
"Kyler Murray","QB","ARI",11,2.63
"Tua Tagovailoa","QB","MIA",13,2.53
"Andy Dalton","QB","NO",14,2.59
"Jacoby Brissett","QB","CLE",12,2.92
"Baker Mayfield","QB","LA",12,2.87
"Lamar Jackson","QB","BAL",12,3.12
"Ryan Tannehill","QB","TEN",12,2.68
"Marcus Mariota","QB","ATL",13,3.03
"Jimmy Garoppolo","QB","SF",11,2.53
"Brock Purdy","QB","SF",10,2.84
