"player","team","routes_run","tgts","catchable","rec","drops","yds","air_yards","yac","ya_contact","t_ds","brkn_tkls","first_downs","on_tgt_catch_percent","drop_percent","yds_per_rr","y_tgt","y_game","fd_percent","adot"
"Justin Jefferson","Vikings",671,181,147,128,3,1809,1181,628,222,8,9,81,93.3,2,2.7,10,106.4,63.3,10.2
"Tyreek Hill","Dolphins",526,170,134,119,7,1710,1208,502,114,7,6,77,94.8,5.2,3.3,10.1,100.6,64.7,12.7
"Davante Adams","Raiders",614,180,123,100,7,1516,997,525,183,14,10,66,89.5,5.7,2.5,8.4,89.2,66,11.9
"A.J. Brown","Eagles",517,144,109,88,5,1496,910,586,278,11,9,60,83.2,4.6,2.9,10.4,88,68.2,12.1
"Stefon Diggs","Bills",560,152,125,108,7,1429,992,437,174,11,8,72,90.4,5.6,2.6,9.4,89.3,66.7,11.2
"CeeDee Lamb","Cowboys",546,156,124,107,5,1359,860,499,200,9,11,67,90.5,4,2.5,8.7,79.9,62.6,10.2
"Jaylen Waddle","Dolphins",508,116,97,75,7,1356,822,536,173,8,3,61,84.3,7.2,2.7,11.7,79.8,81.3,12.3
"Travis Kelce","Chiefs",553,153,128,110,8,1338,665,673,277,12,14,79,90.2,6.3,2.4,8.7,78.7,71.8,7.1
"DeVonta Smith","Eagles",543,136,114,95,5,1196,715,495,180,7,10,57,90.2,4.4,2.2,8.8,70.4,60,9.8
"Terry McLaurin","Commanders",549,120,87,77,4,1191,795,396,196,5,7,56,91.1,4.6,2.2,9.9,70.1,72.7,12.8
"Amon-Ra St. Brown","Lions",456,145,124,106,3,1161,613,548,159,6,7,68,92.5,2.4,2.5,8,72.6,64.2,6.1
"Amari Cooper","Browns",548,132,97,78,8,1160,849,311,118,9,6,61,87.1,8.2,2.1,8.8,68.2,78.2,12.5
"Mike Evans","Buccaneers",564,128,88,77,5,1124,895,238,99,6,2,54,93.7,5.7,2,8.8,74.9,70.1,13.4
"Christian Kirk","Jaguars",572,133,100,84,7,1108,711,391,101,8,5,55,88.9,7,1.9,8.3,65.2,65.5,9.3
"Garrett Wilson","Jets",577,148,102,83,4,1103,697,406,198,4,9,57,91,3.9,1.9,7.5,64.9,68.7,10.4
"DK Metcalf","Seahawks",555,141,109,90,5,1048,822,226,139,6,5,47,86.6,4.6,1.9,7.4,61.6,52.2,11.2
"Ja'Marr Chase","Bengals",509,134,109,87,6,1046,622,424,221,9,8,58,85.1,5.5,2.1,7.8,87.2,66.7,9.7
"Chris Olave","Saints",423,119,87,72,4,1042,832,210,75,4,2,50,89.3,4.6,2.5,8.8,69.5,69.4,14.6
"Tyler Lockett","Seahawks",519,117,93,84,2,1033,749,284,37,9,1,50,91.7,2.2,2,8.8,64.6,59.5,10.6
"Tee Higgins","Bengals",503,109,87,74,5,1029,734,295,150,7,3,46,85.5,5.7,2,9.4,64.3,62.2,11
"Chris Godwin","Buccaneers",535,142,119,104,4,1023,479,540,237,3,6,54,93.3,3.4,1.9,7.2,68.2,51.9,5.8
"Brandon Aiyuk","49ers",486,113,94,78,4,1015,636,379,160,8,9,48,88.3,4.3,2.1,9,59.7,61.5,10
"Jerry Jeudy","Broncos",438,100,77,67,5,972,569,403,128,6,1,41,89.7,6.5,2.2,9.7,64.8,61.2,11.5
"JuJu Smith-Schuster","Chiefs",489,101,88,78,4,933,459,474,222,3,8,48,91.4,4.5,1.9,9.2,58.3,61.5,7.2
"Michael Pittman Jr.","Colts",607,142,114,99,4,925,579,346,159,4,3,52,91,3.5,1.5,6.5,57.8,52.5,7.4
"T.J. Hockenson","2 teams",535,129,106,86,4,914,486,418,213,6,5,44,86.3,3.8,1.7,7.1,53.8,51.2,7.5
"Mike Williams","Chargers",430,93,68,63,1,895,566,329,89,4,2,39,95,1.5,2.1,9.6,68.8,61.9,12
"DJ Moore","Panthers",442,117,78,63,3,888,694,198,82,7,4,44,89.7,3.8,2,7.6,52.2,69.8,13.2
"Diontae Johnson","Steelers",608,147,108,86,6,882,646,236,121,0,5,45,84.7,5.6,1.5,6,51.9,52.3,10.7
"Drake London","Falcons",398,116,83,72,1,866,625,241,110,4,4,51,97.1,1.2,2.2,7.5,50.9,70.8,10.4
"Mark Andrews","Ravens",414,112,83,73,6,847,585,262,112,5,3,48,90.5,7.2,2,7.6,56.5,65.8,9.7
"Donovan Peoples-Jones","Browns",547,97,73,61,1,839,651,188,62,3,0,34,87.7,1.4,1.5,8.6,49.4,55.7,12.3
"Gabriel Davis","Bills",543,92,65,48,9,836,685,151,36,7,3,36,82.7,13.8,1.5,9.1,55.7,75,15.3
"Courtland Sutton","Broncos",511,109,86,64,5,829,690,139,56,2,2,38,78.7,5.8,1.6,7.6,55.3,59.4,12.8
"Zay Jones","Jaguars",528,121,101,82,9,823,517,317,94,5,3,44,87.5,8.9,1.6,6.8,51.4,53.7,8.4
"Cooper Kupp","Rams",309,98,82,75,2,812,391,421,124,6,3,43,93.2,2.4,2.6,8.3,90.2,57.3,7.1
"Jakobi Meyers","Patriots",389,95,75,67,1,804,561,243,55,6,1,38,95.7,1.3,2.1,8.5,57.4,56.7,10.1
"Allen Lazard","Packers",412,100,76,60,5,788,508,284,86,6,1,45,85.7,6.6,1.9,7.9,52.5,75,12.2
"Josh Palmer","Chargers",571,108,85,72,2,769,517,252,88,3,7,39,95.8,2.4,1.3,7.1,48.1,54.2,9.5
"Evan Engram","Jaguars",484,98,81,73,3,766,283,483,160,4,6,33,92.4,3.7,1.6,7.8,45.1,45.2,6.1
"Christian McCaffrey","2 teams",351,108,96,85,4,741,28,713,335,5,12,36,93.4,4.2,2.1,6.9,43.6,42.4,1
"Pat Freiermuth","Steelers",415,97,74,63,3,732,450,282,172,2,8,37,87.1,4.1,1.8,7.5,45.8,58.7,8.3
"Austin Ekeler","Chargers",389,127,118,107,5,722,-136,847,239,5,6,38,96.1,4.2,1.9,5.7,42.5,35.5,-0.9
"DeAndre Hopkins","Cardinals",328,95,75,64,1,717,543,174,73,3,3,35,93.7,1.3,2.2,7.5,79.7,54.7,9.9
"Adam Thielen","Vikings",619,108,80,70,2,716,557,159,47,6,1,45,94.4,2.5,1.2,6.6,42.1,64.3,10.1
"Marquise Brown","Cardinals",450,107,78,67,3,709,456,253,67,3,1,33,92.8,3.8,1.6,6.6,59.1,49.3,11.9
"Brandin Cooks","Texans",405,92,70,57,6,699,491,218,26,3,1,29,89.7,8.6,1.7,7.6,53.8,50.9,11.2
"Mack Hollins","Raiders",583,93,69,57,3,690,486,204,61,4,3,34,93.2,4.3,1.2,7.4,40.6,59.6,12.6
"Curtis Samuel","Commanders",470,91,72,64,5,656,354,302,97,4,2,36,92.3,6.9,1.4,7.2,38.6,56.3,7.1
"K.J. Osborn","Vikings",554,90,72,60,0,650,344,306,124,5,6,32,90.3,0,1.2,7.2,38.2,53.3,8.3
"Deebo Samuel","49ers",353,95,70,56,5,632,127,505,292,2,15,25,91.2,7.1,1.8,6.7,48.6,44.6,4.5
"Parris Campbell","Colts",571,92,71,63,4,623,340,283,78,3,8,32,93.5,5.6,1.1,6.8,36.6,50.8,6.9
"Tyler Higbee","Rams",392,104,88,71,9,613,210,403,130,3,5,32,85,10.2,1.6,5.9,36.1,45.1,3
"Robert Woods","Titans",428,90,62,53,5,527,368,159,49,2,0,31,89.3,8.1,1.2,5.9,31,58.5,8.3
"Rhamondre Stevenson","Patriots",308,90,77,69,6,421,-90,511,164,1,10,13,94.3,7.8,1.4,4.7,24.8,18.8,-0.5
