"posteam","down","yards_gained"
"KC",1,9
"KC",2,1
"KC",1,7
"KC",2,18
"KC",1,0
"KC",2,10
"KC",1,3
"KC",2,0
"KC",3,18
"KC",1,0
"KC",2,9
"KC",1,3
"KC",2,0
"KC",1,25
"KC",1,-3
"KC",2,20
"KC",1,7
"KC",2,0
"KC",1,11
"KC",1,3
"KC",1,1
"KC",2,17
"KC",1,0
"KC",2,8
"KC",3,8
"KC",1,7
"KC",2,7
"KC",1,6
"KC",2,0
"KC",3,2
"KC",1,5
"KC",2,5
"KC",1,1
"KC",2,6
"KC",3,0
"KC",1,19
"KC",1,12
"KC",1,0
"KC",2,18
"KC",1,0
"KC",2,0
"KC",3,0
"KC",1,35
"KC",1,0
"KC",2,30
"KC",1,0
"KC",1,1
"KC",1,4
"KC",2,0
"KC",3,26
"KC",1,4
"KC",2,18
"KC",1,7
"KC",2,0
"KC",2,10
"KC",1,2
"KC",1,11
"KC",1,5
"KC",2,3
"KC",3,8
"KC",1,19
"KC",1,0
"KC",2,-1
"KC",3,18
"KC",1,3
"KC",1,0
"KC",2,22
"KC",1,2
"KC",2,-4
"KC",3,-2
"KC",1,5
"KC",2,4
"KC",3,6
"KC",1,10
"KC",1,2
"KC",2,6
"KC",3,-4
"KC",1,3
"KC",2,-9
"KC",3,-5
"KC",1,30
"KC",1,0
"KC",2,6
"KC",3,0
"KC",1,5
"KC",2,1
"KC",3,19
"KC",1,9
"KC",1,4
"KC",2,8
"KC",1,8
"KC",2,1
"KC",3,0
"KC",1,0
"KC",1,4
"KC",2,6
"KC",3,0
"KC",1,0
"KC",2,11
"KC",1,2
"KC",2,21
"KC",1,0
"KC",2,0
"KC",3,41
"KC",1,7
"KC",2,2
"KC",3,0
"KC",1,0
"KC",2,0
"KC",3,11
"KC",1,0
"KC",1,9
"KC",2,18
"KC",1,2
"KC",2,0
"KC",3,0
"KC",1,3
"KC",2,13
"KC",1,4
"KC",2,0
"KC",3,0
"KC",1,1
"KC",2,0
"KC",3,4
"KC",1,0
"KC",2,-1
"KC",1,0
"KC",2,3
"KC",3,0
"KC",1,0
"KC",2,3
"KC",3,6
"KC",1,6
"KC",2,-3
"KC",3,29
"KC",1,3
"KC",1,2
"KC",2,9
"KC",1,-5
"KC",2,0
"KC",1,3
"KC",2,7
"KC",1,4
"KC",2,7
"KC",1,1
"KC",2,0
"KC",3,0
"KC",1,10
"KC",1,9
"KC",2,1
"KC",1,0
"KC",2,0
"KC",1,1
"KC",1,0
"KC",1,0
"KC",2,6
"KC",1,0
"KC",1,11
"KC",2,16
"KC",1,5
"KC",2,6
"KC",1,4
"KC",2,8
"KC",1,9
"KC",2,0
"KC",3,0
"KC",1,10
"KC",1,1
"KC",2,0
"KC",3,0
"KC",1,4
"KC",2,2
"KC",3,20
"KC",1,26
"KC",1,4
"KC",2,9
