"player","dyar","dvoa"
"P Mahomes","1752","26.5%"
"J Goff","1467","24.8%"
"T Brady","1122","11.0%"
"T Tagovailoa","1105","28.8%"
"J Allen","1086","15.9%"
"J Burrow","951","10.9%"
"T Lawrence","948","13.1%"
"J Garoppolo","863","30.4%"
"G Smith","764","7.9%"
"J Hurts","703","10.6%"
"K Cousins","668","3.6%"
"J Herbert","667","2.7%"
"J Brissett","600","13.0%"
"D Prescott","526","8.3%"
"A Dalton","464","6.6%"
"A Rodgers","437","0.3%"
"D Carr","431","2.1%"
"D Jones","396","1.1%"
"L Jackson","371","5.5%"
"R Tannehill","353","4.3%"
"M Mariota","333","4.9%"
"K Murray","120","-6.6%"
"K Pickett","92","-7.7%"
"M Stafford","69","-8.0%"
"T Heinicke","42","-8.8%"
"M Jones","33","-10.1%"
"J Flacco","-61","-16.1%"
"Z Wilson","-66","-15.2%"
"R Wilson","-136","-15.2%"
"C Wentz","-162","-19.3%"
"D Mills","-181","-16.8%"
"B Mayfield","-238","-21.3%"
"M Ryan","-360","-22.5%"
"J Fields","-541","-34.5%"
"Player","YAR","Pass"
"B Purdy","458","181"
"S Darnold","306","147"
"M Trubisky","117","190"
"C Rush","92","168"
"G Minshew","78","81"
"B Zappe","151","98"
"T Hill","116","21"
"D Ridder","96","124"
"J Stidham","51","90"
"N Mullens","104","25"
"J Love","82","20"
"M White","115","184"
"T Bridgewater","49","86"
"D Webb","-17","40"
"N Peterman","39","25"
"C Daniel","26","13"
"C Streveler","26","15"
"D Blough","36","63"
"T Siemian","-34","28"
"S Howell","-32","22"
"T Huntley","-24","117"
"J Driskel","-24","22"
"T Taylor","-36","11"
"C McCoy","-119","145"
"S Thompson","-115","111"
"J Dobbs","-45","74"
"J Winston","8","124"
"D Watson","-88","188"
"12-A Brown","-98","52"
"C Beathard","-85","12"
"J Wolford","-83","69"
"T Lance","-65","33"
"P Walker","-54","113"
"B Rypien","-178","96"
"B Perkins","-188","39"
"S Ehlinger","-248","115"
"M Willis","-234","71"
"T McSorley","-277","85"
"K Allen","-262","83"
"N Foles","-313","50"
"Player","DYAR","DVOA"
"J Allen","227","25.7%"
"L Jackson","221","27.8%"
"D Jones","217","23.5%"
"J Fields","169","8.3%"
"J Hurts","133","3.2%"
"J Brissett","107","27.1%"
"J Burrow","103","17.8%"
"P Mahomes","97","24.3%"
"M Mariota","67","3.7%"
"R Wilson","60","12.6%"
"T Hill","55","-2.1%"
"D Watson","49","24.2%"
"G Smith","48","4.1%"
"J Stidham","29","26.4%"
"T Lawrence","26","-4.7%"
"R Tannehill","25","8.8%"
"D Prescott","25","-1.7%"
"K Pickett","20","-5.4%"
"D Carr","20","6.5%"
"J Dobbs","19","30.9%"
"Z Wilson","14","-0.3%"
"K Murray","10","-8.8%"
"K Cousins","10","-3.7%"
"C Wentz","3","-8.7%"
"B Perkins","3","-8.5%"
"M Trubisky","1","-11.0%"
"A Rodgers","-1","-13.5%"
"M Jones","-2","-13.2%"
"J Garoppolo","-3","-14.8%"
"S Ehlinger","-5","-18.1%"
"B Purdy","-8","-22.1%"
"D Mills","-9","-20.3%"
"C McCoy","-9","-26.2%"
"J Driskel","-10","-21.4%"
"C Streveler","-14","-48.7%"
"A Dalton","-16","-26.2%"
"T McSorley","-17","-37.5%"
"T Tagovailoa","-17","-36.7%"
"T Lance","-18","-32.5%"
"T Heinicke","-19","-28.2%"
"M Willis","-21","-27.3%"
"J Herbert","-27","-24.2%"
"D Ridder","-38","-51.9%"
"T Brady","-39","-55.8%"
"J Goff","-44","-62.1%"
"T Huntley","-50","-34.6%"
"M Ryan","-50","-48.2%"
"S Darnold","-55","-53.3%"
"B Mayfield","-94","-94.5%"
