"Rank","Season","Player","Team","Pos.","Games","Pass Snaps","Pass Rushes","Solo Sacks","Ast. Sacks","Comb. Sacks","Unblocked Sacks","FF","FR","Hurries","Hits","Knockdowns","Pressures","Pass Defl.","Passes Batted","Holding Pen Drawn"
"[object Object]","2021","Myles Garrett","Browns","DE","17","518","505","14","4","16","0","1","1","45","48","18","85","3","1","8"
"[object Object]","2021","Maxx Crosby","Raiders","DE","17","558","554","6","4","8","2","0","0","49","47","21","80","5","2","6"
"[object Object]","2021","Aaron Donald","Rams","DT","17","632","625","10","5","12.5","0","3","0","47","35","10","76","4","1","5"
"[object Object]","2021","Trey Hendrickson","Bengals","DE","16","460","428","13","2","14","1","3","0","43","36","14","73","2","0","8"
"[object Object]","2021","Nick Bosa","49ers","DE","17","499","495","15","1","15.5","0","3","0","41","34","14","70","2","1","8"
"[object Object]","2021","T.J. Watt","Steelers","LB","15","439","388","21","3","22.5","1","4","1","27","33","16","69","3","3","1"
"[object Object]","2021","Rashan Gary","Packers","LB","16","438","427","8","3","9.5","0","2","1","46","27","16","69","0","0","4"
"[object Object]","2021","Matt Judon","Patriots","LB","17","481","378","11","3","12.5","3","0","1","40","32","14","67","0","0","4"
"[object Object]","2021","Micah Parsons","Cowboys","LB","16","548","283","12","2","13","2","3","0","38","37","17","66","1","0","2"
"[object Object]","2021","Leonard Floyd","Rams","LB","17","573","482","6","7","9.5","4","1","1","43","28","8","66","0","1","1"
"[object Object]","2021","Joey Bosa","Chargers","DE","16","458","422","10","1","10.5","0","7","0","41","32","10","65","0","0","2"
"[object Object]","2021","Shaquil Barrett","Buccaneers","LB","15","531","454","9","2","10","0","3","2","37","37","12","65","0","0","0"
"[object Object]","2021","Harold Landry","Titans","LB","17","623","484","11","2","12","4","1","0","36","24","12","62","0","0","1"
"[object Object]","2021","Yannick Ngakoue","Raiders","DE","17","521","518","10","0","10","1","2","0","34","35","15","60","2","1","4"
"[object Object]","2021","Emmanuel Ogbah","Dolphins","DE","17","513","498","7","4","9","2","1","1","41","25","14","60","4","8","1"
"[object Object]","2021","Jonathan Allen","Football Team","DT","17","460","460","8","2","9","0","0","0","31","39","19","58","0","0","4"
"[object Object]","2021","Chris Jones","Chiefs","DT","14","402","400","8","2","9","1","1","1","39","23","8","57","3","2","4"
"[object Object]","2021","Brian Burns","Panthers","LB","17","483","420","8","2","9","5","2","0","30","30","11","55","3","1","1"
"[object Object]","2021","Sam Hubbard","Bengals","DE","16","544","497","6","3","7.5","0","0","2","34","29","9","55","3","1","1"
"[object Object]","2021","Denico Autry","Titans","DE","17","473","466","8","2","9","0","0","0","38","19","8","54","2","4","1"
"[object Object]","2021","Jeffery Simmons","Titans","DE","17","600","597","8","1","8.5","1","0","0","36","25","7","54","1","5","4"
"[object Object]","2021","Cameron Heyward","Steelers","DE","17","541","541","9","2","10","0","0","1","36","23","6","53","5","4","4"
"[object Object]","2021","Jadeveon Clowney","Browns","DE","14","392","386","8","2","9","1","2","0","31","25","10","52","1","1","2"
"[object Object]","2021","Chandler Jones","Cardinals","LB","15","489","440","10","1","10.5","3","6","1","26","28","15","51","3","1","3"
"[object Object]","2021","Josh Allen","Jaguars","LB","16","474","410","7","1","7.5","1","0","0","23","36","8","51","2","0","1"
"[object Object]","2021","Cameron Jordan","Saints","DE","16","517","502","12","1","12.5","1","2","0","29","19","10","50","2","3","0"
"[object Object]","2021","Charles Harris","Lions","DE","17","487","416","7","1","7.5","1","2","0","36","26","8","50","1","0","4"
"[object Object]","2021","DeForest Buckner","Colts","DT","17","525","520","6","2","7","0","0","0","34","22","11","48","0","1","2"
"[object Object]","2021","Alex Highsmith","Steelers","LB","16","480","423","5","2","6","1","1","0","26","26","8","48","1","0","5"
"[object Object]","2021","Jerry Hughes","Bills","DE","17","332","314","1","2","2","0","1","0","38","21","5","48","3","0","4"
"[object Object]","2021","Von Miller","2 teams","LB","15","457","400","9","1","9.5","2","1","0","30","21","8","47","2","0","2"
"[object Object]","2021","Robert Quinn","Bears","DE","16","412","376","16","5","18.5","1","4","0","20","15","4","46","0","0","5"
"[object Object]","2021","Haason Reddick","Panthers","LB","16","470","388","8","6","11","3","2","1","25","21","7","46","0","0","2"
"[object Object]","2021","Javon Hargrave","Eagles","DT","16","425","423","7","1","7.5","0","1","0","23","30","10","46","0","1","3"
"[object Object]","2021","Josh Sweat","Eagles","DE","16","396","389","6","3","7.5","1","1","0","26","26","5","46","1","1","3"
"[object Object]","2021","Leonard Williams","Giants","DE","17","533","532","5","4","7","0","2","1","23","30","8","46","2","0","1"
"[object Object]","2021","Uchenna Nwosu","Chargers","LB","17","430","373","5","0","5","1","2","1","30","29","13","46","3","1","2"
"[object Object]","2021","Andrew Van Ginkel","Dolphins","LB","17","446","282","3","2","4","1","1","0","32","27","16","45","2","2","1"
"[object Object]","2021","Dawuane Smoot","Jaguars","DE","16","425","397","5","2","6","1","0","0","29","18","10","44","2","1","1"
"[object Object]","2021","John Franklin-Myers","Jets","DE","16","413","408","6","0","6","0","1","0","27","25","8","44","0","1","1"
"[object Object]","2021","Frank Clark","Chiefs","DE","14","410","390","4","1","4.5","1","2","0","29","28","13","44","0","0","4"
"[object Object]","2021","Kenny Clark","Packers","DT","16","492","491","4","0","4","1","0","1","35","23","11","44","0","0","1"
"[object Object]","2021","Marcus Davenport","Saints","DE","11","283","276","8","2","9","1","2","1","25","23","8","43","0","0","2"
"[object Object]","2021","Preston Smith","Packers","LB","16","448","407","9","0","9","0","2","1","29","21","8","43","0","0","1"
"[object Object]","2021","Larry Ogunjobi","Bengals","DT","16","460","459","6","2","7","0","0","0","24","21","8","43","0","0","5"
"[object Object]","2021","Randy Gregory","Cowboys","DE","12","292","283","6","0","6","0","3","0","26","27","12","43","1","0","4"
"[object Object]","2021","Devin White","Buccaneers","LB","17","712","158","3","1","3.5","1","0","1","27","28","15","42","2","0","1"
"[object Object]","2021","D.J. Wonnum","Vikings","DE","17","579","543","8","0","8","3","1","0","24","15","8","41","2","2","2"
"[object Object]","2021","Arik Armstead","49ers","DE","17","487","480","5","2","6","0","0","0","26","20","4","41","0","0","0"
"[object Object]","2021","Justin Houston","Ravens","DE","15","394","362","4","1","4.5","0","1","1","26","24","11","41","1","0","3"
"[object Object]","2021","Joe Tryon-Shoyinka","Buccaneers","LB","17","381","325","4","0","4","1","0","0","23","27","7","41","2","1","0"
"[object Object]","2021","Dexter Lawrence","Giants","DT","16","410","407","2","1","2.5","0","0","0","30","21","8","41","0","2","3"
"[object Object]","2021","Melvin Ingram III","2 teams","DE","15","381","343","1","2","2","1","0","0","31","23","8","41","1","0","3"
"[object Object]","2021","Tyus Bowser","Ravens","LB","17","524","309","6","2","7","1","2","0","22","26","6","40","1","0","4"
"[object Object]","2021","Odafe Oweh","Ravens","LB","15","422","378","5","0","5","1","2","1","25","24","11","40","1","0","0"
"[object Object]","2021","Daron Payne","Football Team","DT","17","491","490","4","1","4.5","0","0","1","27","21","12","40","1","0","0"
"[object Object]","2021","Markus Golden","Cardinals","LB","16","418","360","11","0","11","3","3","2","23","19","9","39","1","0","3"
"[object Object]","2021","Quinton Jefferson","Raiders","DT","17","428","424","3","3","4.5","0","1","0","25","27","10","39","1","0","1"
"[object Object]","2021","Jerry Tillery","Chargers","DT","16","452","450","4","1","4.5","0","0","0","22","23","9","38","0","0","1"
"[object Object]","2021","Jacob Martin","Texans","LB","17","369","369","4","0","4","0","2","0","29","15","3","38","1","2","3"
"[object Object]","2021","Vita Vea","Buccaneers","DT","16","407","396","3","2","4","1","0","1","20","22","8","38","3","0","2"
"[object Object]","2021","Kwity Paye","Colts","DE","15","397","383","3","2","4","0","1","1","27","21","6","38","0","0","1"
"[object Object]","2021","Christian Wilkins","Dolphins","DT","17","367","359","4","1","4.5","1","1","1","23","20","8","37","2","1","2"
